school,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,gifted,iep,not_iep_or_gifted,totals_iep,iep_redactions,students_from_feeder,students_from_outside_feeder,total_with_feeder_status,feeder_count_redactions,grade_level
PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,62,,,,17,,95,190,Y,66,15,109,190,,190,,190,,6_8
PITTSBURGH COLFAX K-8,79,,17,,28,,122,254,Y,92,42,120,254,,35,219,254,,6_8
PITTSBURGH SCHILLER 6-8,123,,,19,21,,94,260,Y,25,54,181,260,,190,70,260,,6_8
PITTSBURGH WESTINGHOUSE ACADEMY 6-12,244,,,,11,,,266,Y,,,208,266,Y,98,168,266,,6_8
PITTSBURGH CLASSICAL 6-8,152,,,14,30,,76,277,Y,21,88,168,277,,277,,277,,6_8
PITTSBURGH STERRETT 6-8,250,,,,13,,38,307,Y,22,77,208,307,,206,101,307,,6_8
PITTSBURGH SOUTH BROOK 6-8,95,,14,11,42,,193,355,,16,64,275,355,,42,313,355,,6_8
PITTSBURGH CAPA 6-12,101,,,,36,,220,372,Y,118,30,224,372,,372,,372,,6_8
PITTSBURGH OBAMA IB 6-12,301,,,,22,,57,394,Y,56,68,270,394,,394,,394,,6_8
PITTSBURGH SOUTH HILLS 6-8,191,,47,64,46,,135,483,,14,119,350,483,,113,370,483,,6_8
CITY CONNECTIONS - NORTH,,,,,,,,,Y,,,,,Y,,,,Y,9_12
CITY CONNECTIONS- EAST,,,,,,,,11,Y,,11,,11,,11,,11,,9_12
PITTSBURGH PIONEER,14,,,,,,,21,Y,,21,,21,,21,,21,,9_12
CITY CONNECTIONS-CCAC,,,,,,,,21,Y,,21,,21,,21,,21,,9_12
CITY CONNECTIONS-WEST,12,,,,,,,22,Y,,22,,22,,22,,22,,9_12
CLAYTON ACADEMY,20,,,,,,,23,Y,,,23,23,,23,,23,,9_12
PITTSBURGH OLIVER CITYWIDE ACADEMY,53,,,,,,,62,Y,,61,,62,Y,62,,62,,9_12
PITTSBURGH ONLINE ACADEMY,22,,,,,,47,73,Y,,,48,73,Y,73,,73,,9_12
PITTSBURGH CONROY,62,,,,,,30,97,Y,,,,97,Y,97,,97,,9_12
PITTSBURGH STUDENT ACHIEVEMENT CENTER 6-12,133,,,,,,22,173,Y,,,126,173,Y,173,,173,,9_12
PITTSBURGH MILLIONES 6-12,231,,,,13,,16,268,Y,,,178,268,Y,35,233,268,,9_12
PITTSBURGH PERRY HIGH SCHOOL,290,,,,30,,55,378,Y,,,261,378,Y,37,341,378,,9_12
PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,166,,18,11,40,,187,423,Y,102,32,289,423,,423,,423,,9_12
PITTSBURGH WESTINGHOUSE ACADEMY 6-12,445,,,,14,,,469,Y,,,302,469,Y,174,295,469,,9_12
PITTSBURGH OBAMA IB 6-12,347,,,,35,,114,513,Y,83,53,377,513,,513,,513,,9_12
PITTSBURGH CAPA 6-12,129,,,16,38,,330,523,Y,181,28,314,523,,523,,523,,9_12
PITTSBURGH CARRICK HIGH SCHOOL,296,,16,11,74,,288,685,N,22,223,440,685,,31,654,685,,9_12
PITTSBURGH BRASHEAR HIGH SCHOOL,522,,86,108,101,,392,1213,Y,31,257,925,1213,,337,876,1213,,9_12
PITTSBURGH ALLDERDICE HIGH SCHOOL,542,,53,82,84,,728,1493,Y,251,181,1061,1493,,429,1064,1493,,9_12
PITTSBURGH LINCOLN EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH WOOLSLAIR EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
Pittsburgh Langley Early Childhood ,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH MILLER EARLY CHILDHOOD CENTER,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH ALLEGHENY EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
CARNEGIE SCIENCE CENTER EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH SUNNYSIDE EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH GRANDVIEW EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH KING EARLY CHILDHOOD CENTER,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH MINADEO EARLY CHILDHOOD CENTER,,,,,,,,,Y,,,,,,,,,,PK
Pittsburgh Linden Early Childhood ,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH WEIL EARLY CHILDHOOD CENTER,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH WESTWOOD EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH CHILDRENS MUSEUM EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH FULTON EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
SCIENCE & TECHNOLOGY ACADEMY EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH ARSENAL EARLY CHILDHOOD CENTER,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH CLASSICAL ACADEMY  EARLY CHILDHOOD CENTER,,,,,,,,,Y,,,,,,,,,,PK
PITTSBURGH MIFFLIN EARLY CHILDHOOD,,,,,,,,,Y,,,,,,,,,,PK
